Issue Type,Summary,Epic Name,Epic Link,Priority,Story Points,Labels,Description
Epic,Sanas Mobile: In-App Live Voice Call (iOS + Android),Sanas Mobile Voice Call,,High,,sanas-mobile,"Focused React Native app (iOS + Android): an in-app voice call where the user hears their voice through a Sanas model in real time, with mid-call model on/off and live switching. Reuses the web backend (/api/twilio/*). Out of scope: chatbot, RAG, uploads, dial-out/IVR/bridge. See docs/PRD.md and docs/mockup.html."
Task,Backend readiness for mobile,,Sanas Mobile Voice Call,Highest,2,sanas-mobile,"Enabler: Sanas SDK in real mode; Twilio browser-voice configured (TWILIO_API_KEY_SID/SECRET, TWILIO_TWIML_APP_SID, PUBLIC_BASE_URL); TwiML App Voice URL = {PUBLIC_BASE_URL}/api/twilio/voice; stable public URL. AC: /api/health mode:real; /api/twilio/config browser_voice:true; token returns; reachable over HTTPS from a device."
Story,RN scaffold + call-screen UI (Done - M0),,Sanas Mobile Voice Call,High,3,sanas-mobile,"React Native (TS) single call screen: model picker, Call/Hang-up, timer, Model on/off, light/dark. Already implemented in the repo (App.tsx, src/). AC: builds and renders in light/dark; model list loads from /api/models."
Story,Twilio Voice: token + outgoing connect (audible call),,Sanas Mobile Voice Call,Highest,5,sanas-mobile,"Integrate @twilio/voice-react-native-sdk; on Call fetch a token and connect({mode:'sanas',model}); play audio; capture CallSid. AC: connects in ~5s and audio is audible; CallSid captured on connect; disconnect resets the UI."
Story,Microphone permission UX,,Sanas Mobile Voice Call,High,2,sanas-mobile,"iOS NSMicrophoneUsageDescription prompt on first use; Android RECORD_AUDIO runtime request before connecting; graceful denial handling. AC: mic prompt appears on both platforms; denial shows a recoverable message and the app stays usable."
Story,Call controls & states (green in-call + timer),,Sanas Mobile Voice Call,Medium,2,sanas-mobile,"Call button brand-dark when idle, spinner while connecting, green while connected; live mm:ss timer; Hang-up enabled only during a call. AC: states match the mockup; timer starts on connect and resets on hang-up."
Story,Mid-call Model on/off,,Sanas Mobile Voice Call,Highest,3,sanas-mobile,"Model on/off via POST /api/twilio/toggle {call_sid, enabled} during the call. AC: Model off audibly returns the raw line and Model on restores processing; the call does not drop; controls enabled only while connected."
Story,Live model switch mid-call,,Sanas Mobile Voice Call,High,3,sanas-mobile,"Tapping a different model chip while connected POSTs /api/twilio/toggle {call_sid, model}. AC: switching changes the audio without dropping the call; selecting a model while idle sets the model for the next call."
Story,Audio session & routing,,Sanas Mobile Voice Call,Medium,3,sanas-mobile,"Audio session handling on both platforms: earpiece/speaker/Bluetooth routing, echo, OS-call interruptions, silent switch. AC: audible on earpiece and speaker, works with a Bluetooth headset, no persistent echo, recovers after an interruption."
Story,"Resilience: failures, network loss, background",,Sanas Mobile Voice Call,Medium,3,sanas-mobile,"Handle connect failure, mid-call network loss/reconnect, app background/foreground, and token/endpoint errors. AC: connect failure resets to idle with a message; backgrounding during a call keeps audio (background modes) or ends gracefully."
Task,App identity & assets,,Sanas Mobile Voice Call,Medium,2,sanas-mobile,"Final app name, bundle id (ai.sanas.*), 1024px icon, splash, light/dark polish, store screenshots. AC: icon and splash on both platforms; name and bundle id set."
Task,iOS release build (TestFlight),,Sanas Mobile Voice Call,Medium,3,sanas-mobile,"Signing/provisioning, version bump, Archive, distribute to App Store Connect. AC: installs from TestFlight and completes a call."
Task,Android release build (Play internal testing),,Sanas Mobile Voice Call,Medium,3,sanas-mobile,"applicationId, release keystore, gradlew bundleRelease, upload .aab to Play Console. AC: installs from Play internal testing and completes a call."
